deserializer, limit, loaderTime, dataLoader, deserializerTime, dataLength, 
TouchJSON, 15, 3.899996995925903, NSURLConnection, 0.05694299936294556, 6391, 
TouchJSON, 30, 5.241673946380615, NSURLConnection, 0.1150090098381042, 12820, 
SBJSON, 15, 11.43994998931885, NSURLConnection, 0.03919696807861328, 6391, 
SBJSON, 30, 5.050230026245117, NSURLConnection, 0.07590204477310181, 12820, 
YAML, 15, 4.312785983085632, NSURLConnection, 0.0674930214881897, 6901, 
YAML, 30, 5.347438991069794, NSURLConnection, 0.1367520093917847, 13871, 
BinaryPlist, 15, 3.338559985160828, NSURLConnection, 0.005689024925231934, 5028, 
BinaryPlist, 30, 5.409779965877533, NSURLConnection, 0.01286995410919189, 10705, 
XMLPlist, 15, 5.336323022842407, NSURLConnection, 0.02098900079727173, 11401, 
XMLPlist, 30, 8.847870945930481, NSURLConnection, 0.04404699802398682, 22645, 
XMLFormattedPlist, 15, 5.769365966320038, NSURLConnection, 0.02030396461486816, 14498, 
XMLFormattedPlist, 30, 16.96226000785828, NSURLConnection, 0.07760298252105713, 28832, 
NSXMLParser, 15, 17.71885800361633, NSURLConnection, 0.08645397424697876, 7928, 
NSXMLParser, 30, 5.14478200674057, NSURLConnection, 0.1804810166358948, 15842, 
TouchXML, 15, 4.286669969558716, NSURLConnection, 0.05535900592803955, 7928, 
TouchXML, 30, 14.54655605554581, NSURLConnection, 0.09752500057220459, 15842, 
LibXMLDom, 15, 3.793003022670746, NSURLConnection, 0.0308300256729126, 7928, 
LibXMLDom, 30, 5.657342970371246, NSURLConnection, 0.0613289475440979, 15842, 
LibXMLSAX, 15, 5.846745014190674, NSURLConnection, 0.104203999042511, 7928, 
LibXMLSAX, 30, 6.366763949394226, NSURLConnection, 0.1272439956665039, 15842, 
CSV, 15, 3.10106098651886, NSURLConnection, 0.05701398849487305, 3970, 
CSV, 30, 3.698284029960632, NSURLConnection, 0.1287049651145935, 7967, 
TBXML, 15, 3.835213005542755, NSURLConnection, 0.01814901828765869, 7928, 
TBXML, 30, 5.270079970359802, NSURLConnection, 0.03518402576446533, 15842, 
KissXML, 15, 4.69760000705719, NSURLConnection, 0.04876601696014404, 7928, 
KissXML, 30, 5.640080988407135, NSURLConnection, 0.08970499038696289, 15842, 
TinyXML, 15, 4.064473032951355, NSURLConnection, 0.05361497402191162, 7928, 
TinyXML, 30, 5.903634011745453, NSURLConnection, 0.1627249717712402, 15842, 
GoogleXML, 15, 3.614654004573822, NSURLConnection, 0.04465997219085693, 7928, 
GoogleXML, 30, 11.67763495445251, NSURLConnection, 0.1329549551010132, 15842, 
APXML, 15, 3.70294600725174, NSURLConnection, 0.09989798069000244, 7928, 
APXML, 30, 5.589757978916168, NSURLConnection, 0.1970570087432861, 15842, 
ProtocolBuffer, 15, 2.730706989765167, NSURLConnection, 0.03466200828552246, 4075, 
ProtocolBuffer, 30, 2.628817021846771, NSURLConnection, 0.08084398508071899, 8181, 
TouchJSON, 15, 4.380622982978821, ASIHTTPRequest, 0.05983197689056396, 6391, 
TouchJSON, 30, 3.248101055622101, ASIHTTPRequest, 0.1112250089645386, 12820, 
SBJSON, 15, 2.036480009555817, ASIHTTPRequest, 0.0375400185585022, 6391, 
SBJSON, 30, 3.872878968715668, ASIHTTPRequest, 0.07643997669219971, 12820, 
YAML, 15, 2.751034021377563, ASIHTTPRequest, 0.06734204292297363, 6901, 
YAML, 30, 3.88826596736908, ASIHTTPRequest, 0.1360840201377869, 13871, 
BinaryPlist, 15, 2.353294968605042, ASIHTTPRequest, 0.006779968738555908, 5028, 
BinaryPlist, 30, 3.058973014354706, ASIHTTPRequest, 0.01077497005462646, 10705, 
XMLPlist, 15, 3.658495008945465, ASIHTTPRequest, 0.02129298448562622, 11401, 
XMLPlist, 30, 5.333443999290466, ASIHTTPRequest, 0.03975600004196167, 22645, 
XMLFormattedPlist, 15, 5.44684499502182, ASIHTTPRequest, 0.02110099792480469, 14498, 
XMLFormattedPlist, 30, 6.593697965145111, ASIHTTPRequest, 0.04433101415634155, 28832, 
NSXMLParser, 15, 4.06453400850296, ASIHTTPRequest, 0.07954901456832886, 7928, 
NSXMLParser, 30, 3.9514319896698, ASIHTTPRequest, 0.1618819832801819, 15842, 
TouchXML, 15, 2.483670949935913, ASIHTTPRequest, 0.05234998464584351, 7928, 
