format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
json, 0.04506498575210571, 50, 2.117740988731384, 21478, NSURLConnection, TouchJSON, 
json, 0.08422195911407471, 100, 1.024865984916687, 42795, NSURLConnection, TouchJSON, 
json, 0.123598039150238, 150, 1.037292957305908, 64928, NSURLConnection, TouchJSON, 
json, 0.1656929850578308, 200, 1.116944968700409, 86012, NSURLConnection, TouchJSON, 
json, 0.03209894895553589, 50, 0.5810149908065796, 21288, NSURLConnection, SBJSON, 
json, 0.06342601776123047, 100, 0.8238410353660583, 43254, NSURLConnection, SBJSON, 
json, 0.09398400783538818, 150, 1.852181017398834, 63863, NSURLConnection, SBJSON, 
json, 0.1246480345726013, 200, 0.9264389872550964, 86133, NSURLConnection, SBJSON, 
json, 0.01103496551513672, 50, 0.5961430072784424, 21218, NSURLConnection, JSONKit, 
json, 0.02230799198150635, 100, 0.7021099925041199, 43118, NSURLConnection, JSONKit, 
json, 0.03268998861312866, 150, 0.7964820265769958, 64590, NSURLConnection, JSONKit, 
json, 0.0419500470161438, 200, 0.936028003692627, 86030, NSURLConnection, JSONKit, 
json, 0.01781797409057617, 50, 0.6092259883880615, 21620, NSURLConnection, YAJL, 
json, 0.03264701366424561, 100, 0.7051990032196045, 43479, NSURLConnection, YAJL, 
json, 0.0455399751663208, 150, 0.7877709865570068, 63901, NSURLConnection, YAJL, 
json, 0.06428200006484985, 200, 0.9020379781723022, 86064, NSURLConnection, YAJL, 
json, 0.245294988155365, 50, 0.6066849827766418, 21302, NSURLConnection, BSJSON, 
json, 0.4928339719772339, 100, 0.7074219584465027, 43048, NSURLConnection, BSJSON, 
json, 0.7377690076828003, 150, 0.8535720109939575, 64549, NSURLConnection, BSJSON, 
json, 0.9729290008544922, 200, 0.9860619902610779, 85482, NSURLConnection, BSJSON, 
yaml, 0.04892498254776001, 50, 0.7911170125007629, 23418, NSURLConnection, YAML, 
yaml, 0.09204298257827759, 100, 0.9956539869308472, 46328, NSURLConnection, YAML, 
yaml, 0.142195999622345, 150, 1.864057004451752, 69424, NSURLConnection, YAML, 
yaml, 0.1793209910392761, 200, 2.052439033985138, 92644, NSURLConnection, YAML, 
binplist, 0.007198989391326904, 50, 0.6850550174713135, 17601, NSURLConnection, BinaryPlist, 
binplist, 0.01175397634506226, 100, 0.9381909966468811, 34188, NSURLConnection, BinaryPlist, 
binplist, 0.0163690447807312, 150, 1.134988009929657, 51904, NSURLConnection, BinaryPlist, 
binplist, 0.01967900991439819, 200, 1.350914001464844, 68258, NSURLConnection, BinaryPlist, 
