format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
json, 0.05107998847961426, 50, 1.067240953445435, 21308, NSURLConnection, TouchJSON, 
json, 0.09694302082061768, 100, 1.172042965888977, 42831, NSURLConnection, TouchJSON, 
json, 0.1487870216369629, 150, 1.532171010971069, 63913, NSURLConnection, TouchJSON, 
json, 0.1943070292472839, 200, 1.288007974624634, 85958, NSURLConnection, TouchJSON, 
json, 0.03916001319885254, 50, 0.6170719861984253, 21656, NSURLConnection, SBJSON, 
json, 0.07347899675369263, 100, 0.8834180235862732, 42595, NSURLConnection, SBJSON, 
json, 0.1101740002632141, 150, 0.8538920283317566, 65065, NSURLConnection, SBJSON, 
json, 0.1444820165634155, 200, 1.110540986061096, 85811, NSURLConnection, SBJSON, 
json, 0.01517599821090698, 50, 0.7687610387802124, 21806, NSURLConnection, JSONKit, 
json, 0.0232279896736145, 100, 0.7069910168647766, 42917, NSURLConnection, JSONKit, 
json, 0.03502398729324341, 150, 0.8963080048561096, 64488, NSURLConnection, JSONKit, 
json, 0.04983800649642944, 200, 1.081803023815155, 86014, NSURLConnection, JSONKit, 
json, 0.02118104696273804, 50, 0.6631249785423279, 21340, NSURLConnection, YAJL, 
json, 0.03775399923324585, 100, 0.6986809968948364, 42688, NSURLConnection, YAJL, 
json, 0.05798500776290894, 150, 0.8794580101966858, 64732, NSURLConnection, YAJL, 
json, 0.07702696323394775, 200, 1.060144007205963, 85474, NSURLConnection, YAJL, 
json, 0.3018069863319397, 50, 0.6353440284729004, 21392, NSURLConnection, BSJSON, 
json, 0.6004890203475952, 100, 0.9256370067596436, 42704, NSURLConnection, BSJSON, 
json, 0.886601984500885, 150, 1.037180006504059, 64063, NSURLConnection, BSJSON, 
json, 1.166131973266602, 200, 1.061787962913513, 85760, NSURLConnection, BSJSON, 
yaml, 0.0578160285949707, 50, 0.7290800213813782, 23286, NSURLConnection, YAML, 
yaml, 0.1101419925689697, 100, 0.9346799850463867, 46539, NSURLConnection, YAML, 
yaml, 0.1600950360298157, 150, 0.7784460186958313, 69763, NSURLConnection, YAML, 
yaml, 0.2129790186882019, 200, 1.165387034416199, 92383, NSURLConnection, YAML, 
binplist, 0.008894026279449463, 50, 0.7045000195503235, 17739, NSURLConnection, BinaryPlist, 
binplist, 0.0120079517364502, 100, 0.7647259831428528, 34610, NSURLConnection, BinaryPlist, 
binplist, 0.02006196975708008, 150, 1.012685000896454, 51754, NSURLConnection, BinaryPlist, 
binplist, 0.02256298065185547, 200, 1.146118998527527, 67629, NSURLConnection, BinaryPlist, 
xmlplist, 0.01757895946502686, 50, 0.5849470496177673, 37581, NSURLConnection, XMLPlist, 
xmlplist, 0.03339302539825439, 100, 1.108085989952087, 76035, NSURLConnection, XMLPlist, 
xmlplist, 0.04960203170776367, 150, 1.194483995437622, 113339, NSURLConnection, XMLPlist, 
xmlplist, 0.06465399265289307, 200, 1.278670012950897, 150107, NSURLConnection, XMLPlist, 
xmlplistformatted, 0.01967000961303711, 50, 0.6420959830284119, 48074, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.03707897663116455, 100, 1.103675007820129, 96047, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.05156201124191284, 150, 1.103537023067474, 143935, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.06893402338027954, 200, 1.770509004592896, 191316, NSURLConnection, XMLFormattedPlist, 
xml, 0.06056296825408936, 50, 0.6433050036430359, 26719, NSURLConnection, NSXMLParser, 
xml, 0.118302047252655, 100, 0.8603249788284302, 53150, NSURLConnection, NSXMLParser, 
xml, 0.1765269637107849, 150, 1.112281024456024, 79266, NSURLConnection, NSXMLParser, 
xml, 0.2368810176849365, 200, 1.042609035968781, 105721, NSURLConnection, NSXMLParser, 
xml, 0.04941302537918091, 50, 0.7827419638633728, 26621, NSURLConnection, TouchXML, 
xml, 0.09016197919845581, 100, 0.8220400214195251, 52590, NSURLConnection, TouchXML, 
