format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
json, 0.004923999309539795, 5, 2.980648994445801, 2111, NSURLConnection, TouchJSON, 
json, 0.01238000392913818, 10, 2.329859018325806, 4266, NSURLConnection, TouchJSON, 
json, 0.01693099737167358, 15, 2.867335975170135, 6483, NSURLConnection, TouchJSON, 
json, 0.02204102277755737, 20, 2.717395007610321, 8569, NSURLConnection, TouchJSON, 
json, 0.005829036235809326, 5, 1.776973009109497, 2104, NSURLConnection, SBJSON, 
json, 0.009855031967163086, 10, 2.294629991054535, 4262, NSURLConnection, SBJSON, 
json, 0.01377594470977783, 15, 2.846730947494507, 6403, NSURLConnection, SBJSON, 
json, 0.01746499538421631, 20, 2.76598596572876, 8699, NSURLConnection, SBJSON, 
json, 0.002562999725341797, 5, 1.758569002151489, 2150, NSURLConnection, JSONKit, 
json, 0.004743993282318115, 10, 2.211457967758179, 4305, NSURLConnection, JSONKit, 
json, 0.006837010383605957, 15, 2.774405956268311, 6341, NSURLConnection, JSONKit, 
json, 0.007746040821075439, 20, 2.809494972229004, 8566, NSURLConnection, JSONKit, 
json, 0.00337296724319458, 5, 1.886133968830109, 2279, NSURLConnection, YAJL, 
json, 0.006345033645629883, 10, 2.213182985782623, 4368, NSURLConnection, YAJL, 
json, 0.007964015007019043, 15, 2.833276987075806, 6615, NSURLConnection, YAJL, 
json, 0.01062095165252686, 20, 2.747969031333923, 8664, NSURLConnection, YAJL, 
json, 0.03336900472640991, 5, 1.76316100358963, 2231, NSURLConnection, BSJSON, 
json, 0.06247299909591675, 10, 2.184044003486633, 4283, NSURLConnection, BSJSON, 
json, 0.09287196397781372, 15, 2.735867023468018, 6448, NSURLConnection, BSJSON, 
json, 0.1226189732551575, 20, 2.585148990154266, 8564, NSURLConnection, BSJSON, 
yaml, 0.00818103551864624, 5, 1.8733189702034, 2310, NSURLConnection, YAML, 
yaml, 0.01230001449584961, 10, 2.393059015274048, 4518, NSURLConnection, YAML, 
yaml, 0.01850998401641846, 15, 2.501918017864227, 6796, NSURLConnection, YAML, 
yaml, 0.02455097436904907, 20, 2.898906052112579, 9324, NSURLConnection, YAML, 
binplist, 0.001210987567901611, 5, 1.530784964561462, 1817, NSURLConnection, BinaryPlist, 
binplist, 0.002229988574981689, 10, 2.153972983360291, 3408, NSURLConnection, BinaryPlist, 
binplist, 0.00309598445892334, 15, 2.071119010448456, 4828, NSURLConnection, BinaryPlist, 
binplist, 0.00412595272064209, 20, 2.852092027664185, 7046, NSURLConnection, BinaryPlist, 
xmlplist, 0.00293201208114624, 5, 1.375551998615265, 3891, NSURLConnection, XMLPlist, 
xmlplist, 0.006410002708435059, 10, 2.012917041778564, 7720, NSURLConnection, XMLPlist, 
xmlplist, 0.007588982582092285, 15, 1.88712602853775, 11363, NSURLConnection, XMLPlist, 
xmlplist, 0.008834004402160645, 20, 1.891212046146393, 15329, NSURLConnection, XMLPlist, 
xmlplistformatted, 0.003196001052856445, 5, 1.430786967277527, 4977, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.006017982959747314, 10, 2.050007045269012, 9819, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.007749974727630615, 15, 1.891251027584076, 14854, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.008491039276123047, 20, 1.893249988555908, 19258, NSURLConnection, XMLFormattedPlist, 
xml, 0.008377969264984131, 5, 1.488646984100342, 2684, NSURLConnection, NSXMLParser, 
xml, 0.01401203870773315, 10, 1.405161023139954, 5261, NSURLConnection, NSXMLParser, 
xml, 0.02067703008651733, 15, 1.82389497756958, 7974, NSURLConnection, NSXMLParser, 
xml, 0.02689796686172485, 20, 1.85446697473526, 10845, NSURLConnection, NSXMLParser, 
xml, 0.007542014122009277, 5, 1.37424099445343, 2712, NSURLConnection, TouchXML, 
xml, 0.01183700561523438, 10, 2.028144001960754, 5357, NSURLConnection, TouchXML, 
xml, 0.01612502336502075, 15, 1.82306295633316, 7965, NSURLConnection, TouchXML, 
xml, 0.02170997858047485, 20, 1.860890984535217, 10704, NSURLConnection, TouchXML, 
xml, 0.00479501485824585, 5, 1.417788028717041, 2660, NSURLConnection, LibXMLDom, 
xml, 0.00905299186706543, 10, 1.947717010974884, 5245, NSURLConnection, LibXMLDom, 
