deserializer, deserializerTime, dataLength, loaderTime, dataLoader, limit, 
TouchJSON, 0.04615801572799683, 21423, 1.208181977272034, NSURLConnection, 50, 
TouchJSON, 0.09453099966049194, 42854, 0.7115920186042786, NSURLConnection, 100, 
TouchJSON, 0.133571982383728, 64507, 0.742330014705658, NSURLConnection, 150, 
TouchJSON, 0.1754329800605774, 85764, 1.143229007720947, NSURLConnection, 200, 
SBJSON, 0.03716403245925903, 21423, 0.9407920241355896, NSURLConnection, 50, 
SBJSON, 0.06430798768997192, 42854, 2.015953004360199, NSURLConnection, 100, 
SBJSON, 0.09799802303314209, 64507, 1.805150985717773, NSURLConnection, 150, 
SBJSON, 0.132286012172699, 85764, 1.852580964565277, NSURLConnection, 200, 
YAML, 0.05948197841644287, 23178, 0.5263960361480713, NSURLConnection, 50, 
YAML, 0.1069899797439575, 46331, 0.8386119604110718, NSURLConnection, 100, 
YAML, 0.1569079756736755, 69700, 1.010798037052155, NSURLConnection, 150, 
YAML, 0.2051079869270325, 92675, 1.657845973968506, NSURLConnection, 200, 
BinaryPlist, 0.008831024169921875, 17700, 0.5686709880828857, NSURLConnection, 50, 
BinaryPlist, 0.01438701152801514, 34852, 0.837332010269165, NSURLConnection, 100, 
BinaryPlist, 0.01850098371505737, 51651, 1.98363596200943, NSURLConnection, 150, 
BinaryPlist, 0.02469402551651001, 67643, 1.139993011951447, NSURLConnection, 200, 
XMLPlist, 0.01813197135925293, 37668, 0.6565490365028381, NSURLConnection, 50, 
XMLPlist, 0.032554030418396, 75149, 0.650113046169281, NSURLConnection, 100, 
XMLPlist, 0.04862397909164429, 112852, 0.9249250292778015, NSURLConnection, 150, 
XMLPlist, 0.06303799152374268, 150159, 1.576842963695526, NSURLConnection, 200, 
XMLFormattedPlist, 0.01794600486755371, 47975, 1.14463996887207, NSURLConnection, 50, 
XMLFormattedPlist, 0.03546696901321411, 95756, 0.8926799893379211, NSURLConnection, 100, 
XMLFormattedPlist, 0.05025804042816162, 143759, 1.548627972602844, NSURLConnection, 150, 
XMLFormattedPlist, 0.06532496213912964, 191366, 2.453015029430389, NSURLConnection, 200, 
NSXMLParser, 0.05741298198699951, 26425, 0.3786090016365051, NSURLConnection, 50, 
NSXMLParser, 0.1180940270423889, 52806, 1.017010033130646, NSURLConnection, 100, 
NSXMLParser, 0.1767809987068176, 79409, 0.9290369749069214, NSURLConnection, 150, 
NSXMLParser, 0.2336919903755188, 105616, 1.456773996353149, NSURLConnection, 200, 
TouchXML, 0.05456900596618652, 26425, 0.442175030708313, NSURLConnection, 50, 
TouchXML, 0.09246701002120972, 52806, 0.5627910494804382, NSURLConnection, 100, 
TouchXML, 0.1357470154762268, 79409, 1.027988970279694, NSURLConnection, 150, 
TouchXML, 0.1827430129051208, 105616, 1.866705000400543, NSURLConnection, 200, 
