format, deserializerTime, limit, loaderTime, dataLength, dataLoader, deserializer, 
json, 0.1708049774169922, 50, 1.281300961971283, 21313, NSURLConnection, TouchJSON, 
json, 0.3490360379219055, 100, 1.104842007160187, 42927, NSURLConnection, TouchJSON, 
json, 0.5404000282287598, 150, 1.134801030158997, 64293, NSURLConnection, TouchJSON, 
json, 0.7148780226707458, 200, 1.404030978679657, 85761, NSURLConnection, TouchJSON, 
json, 0.1257230043411255, 50, 0.8053439855575562, 21298, NSURLConnection, SBJSON, 
json, 0.2539599537849426, 100, 1.102793991565704, 43651, NSURLConnection, SBJSON, 
json, 0.3759660124778748, 150, 1.176298022270203, 64521, NSURLConnection, SBJSON, 
json, 0.5046149492263794, 200, 1.359198987483978, 85590, NSURLConnection, SBJSON, 
json, 0.04423898458480835, 50, 0.8067929744720459, 21493, NSURLConnection, JSONKit, 
json, 0.08184194564819336, 100, 1.18554699420929, 43153, NSURLConnection, JSONKit, 
json, 0.1310930252075195, 150, 1.135854005813599, 64485, NSURLConnection, JSONKit, 
json, 0.1748390197753906, 200, 1.392983973026276, 85700, NSURLConnection, JSONKit, 
json, 0.06958502531051636, 50, 0.6298440098762512, 21730, NSURLConnection, YAJL, 
json, 0.1340299844741821, 100, 0.8494229912757874, 42723, NSURLConnection, YAJL, 
json, 0.2035489678382874, 150, 1.291089951992035, 64231, NSURLConnection, YAJL, 
json, 0.2689689993858337, 200, 1.321637988090515, 85830, NSURLConnection, YAJL, 
json, 0.9993480443954468, 50, 0.7530449628829956, 21699, NSURLConnection, BSJSON, 
json, 1.969054043292999, 100, 0.9327030181884766, 43035, NSURLConnection, BSJSON, 
json, 2.956891000270844, 150, 1.402320027351379, 64579, NSURLConnection, BSJSON, 
json, 3.859870970249176, 200, 2.055409014225006, 85763, NSURLConnection, BSJSON, 
yaml, 0.2199410200119019, 50, 1.443646967411041, 23006, NSURLConnection, YAML, 
yaml, 0.4254530072212219, 100, 1.209537982940674, 46086, NSURLConnection, YAML, 
yaml, 0.6277099847793579, 150, 1.411346971988678, 69108, NSURLConnection, YAML, 
yaml, 0.844514012336731, 200, 1.618032038211823, 93833, NSURLConnection, YAML, 
binplist, 0.0210919976234436, 50, 0.7766069769859314, 18092, NSURLConnection, BinaryPlist, 
binplist, 0.04150903224945068, 100, 1.509896039962769, 34796, NSURLConnection, BinaryPlist, 
binplist, 0.0609319806098938, 150, 1.282213985919952, 50883, NSURLConnection, BinaryPlist, 
binplist, 0.08663702011108398, 200, 1.571130990982056, 68063, NSURLConnection, BinaryPlist, 
xmlplist, 0.05121695995330811, 50, 1.024178028106689, 38044, NSURLConnection, XMLPlist, 
xmlplist, 0.1055709719657898, 100, 1.274442970752716, 75143, NSURLConnection, XMLPlist, 
xmlplist, 0.1619870066642761, 150, 1.332139015197754, 113208, NSURLConnection, XMLPlist, 
xmlplist, 0.2057719826698303, 200, 1.456986010074615, 150770, NSURLConnection, XMLPlist, 
xmlplistformatted, 0.05323898792266846, 50, 0.806149959564209, 48053, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.1087729930877686, 100, 1.169916987419128, 95709, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.1642459630966187, 150, 1.424544990062714, 143714, NSURLConnection, XMLFormattedPlist, 
xmlplistformatted, 0.2124940156936646, 200, 1.570674002170563, 192045, NSURLConnection, XMLFormattedPlist, 
xml, 0.2443059682846069, 50, 0.7845900058746338, 26287, NSURLConnection, NSXMLParser, 
xml, 0.4694430232048035, 100, 0.982342004776001, 53001, NSURLConnection, NSXMLParser, 
xml, 0.7186350226402283, 150, 1.376621007919312, 79403, NSURLConnection, NSXMLParser, 
xml, 0.9642369747161865, 200, 1.514825046062469, 105797, NSURLConnection, NSXMLParser, 
xml, 0.1675130128860474, 50, 1.686585009098053, 26486, NSURLConnection, TouchXML, 
xml, 0.3019009828567505, 100, 1.358776986598969, 52697, NSURLConnection, TouchXML, 
xml, 0.4584850072860718, 150, 1.633871018886566, 78989, NSURLConnection, TouchXML, 
xml, 0.6163240075111389, 200, 1.694272994995117, 106299, NSURLConnection, TouchXML, 
xml, 0.1162999868392944, 50, 0.79305499792099, 26750, NSURLConnection, LibXMLDom, 
xml, 0.2127289772033691, 100, 1.414795994758606, 52596, NSURLConnection, LibXMLDom, 
xml, 0.3124690055847168, 150, 1.420601963996887, 79429, NSURLConnection, LibXMLDom, 
xml, 0.413116991519928, 200, 1.625022053718567, 105648, NSURLConnection, LibXMLDom, 
xml, 0.1859740018844604, 50, 0.8062620162963867, 26727, NSURLConnection, LibXMLSAX, 
xml, 0.3847839832305908, 100, 1.337457954883575, 52958, NSURLConnection, LibXMLSAX, 
xml, 0.5885360240936279, 150, 1.444467961788177, 78927, NSURLConnection, LibXMLSAX, 
xml, 0.7861720323562622, 200, 1.566151022911072, 105746, NSURLConnection, LibXMLSAX, 
csv, 0.1349120140075684, 50, 0.7262610197067261, 13432, NSURLConnection, CSV, 
csv, 0.2312909960746765, 100, 0.9897730350494385, 26309, NSURLConnection, CSV, 
csv, 0.3473129868507385, 150, 1.002174973487854, 40008, NSURLConnection, CSV, 
csv, 0.4609010219573975, 200, 1.167623996734619, 53993, NSURLConnection, CSV, 
xml, 0.06215500831604004, 50, 0.7567639946937561, 26194, NSURLConnection, TBXML, 
xml, 0.1218039989471436, 100, 1.360234975814819, 52887, NSURLConnection, TBXML, 
xml, 0.1832699775695801, 150, 1.304244995117188, 79604, NSURLConnection, TBXML, 
xml, 0.2463189959526062, 200, 1.460308015346527, 105566, NSURLConnection, TBXML, 
xml, 0.1583049893379211, 50, 0.7468349933624268, 26569, NSURLConnection, KissXML, 
xml, 0.3100729584693909, 100, 1.16807097196579, 52838, NSURLConnection, KissXML, 
xml, 0.4561060070991516, 150, 1.628592967987061, 79947, NSURLConnection, KissXML, 
xml, 0.5795930027961731, 200, 1.69989800453186, 105215, NSURLConnection, KissXML, 
xml, 0.2997769713401794, 50, 0.9240809679031372, 27043, NSURLConnection, TinyXML, 
xml, 0.5877450108528137, 100, 1.332783997058868, 53083, NSURLConnection, TinyXML, 
xml, 0.8783239722251892, 150, 1.554829001426697, 79240, NSURLConnection, TinyXML, 
xml, 1.164596974849701, 200, 1.776079952716827, 105896, NSURLConnection, TinyXML, 
xml, 0.1647990345954895, 50, 0.7666690349578857, 26720, NSURLConnection, GoogleXML, 
xml, 0.3235660195350647, 100, 1.365738034248352, 52712, NSURLConnection, GoogleXML, 
xml, 0.47748202085495, 150, 1.612926959991455, 79578, NSURLConnection, GoogleXML, 
xml, 0.6259549856185913, 200, 1.675752997398376, 105334, NSURLConnection, GoogleXML, 
xml, 0.306780993938446, 50, 0.7823899984359741, 26524, NSURLConnection, APXML, 
xml, 0.6087669730186462, 100, 1.428978025913239, 52432, NSURLConnection, APXML, 
xml, 0.903423011302948, 150, 1.62915301322937, 78860, NSURLConnection, APXML, 
xml, 1.225651025772095, 200, 1.760618031024933, 105564, NSURLConnection, APXML, 
pbuf, 0.08206301927566528, 50, 1.007737994194031, 13906, NSURLConnection, ProtocolBuffer, 
pbuf, 0.1322790384292603, 100, 1.138486981391907, 27551, NSURLConnection, ProtocolBuffer, 
pbuf, 0.196785032749176, 150, 0.9871940016746521, 40820, NSURLConnection, ProtocolBuffer, 
