deserializer, limit, loaderTime, dataLoader, deserializerTime, dataLength, 
TouchJSON, 500, 0.642408013343811, NSURLConnection, 2.644759953022003, 214888, 
TouchJSON, 1000, 0.9029819965362549, NSURLConnection, 5.833851993083954, 429092, 
SBJSON, 500, 1.10214900970459, NSURLConnection, 1.895888030529022, 214888, 
SBJSON, 1000, 1.01440703868866, NSURLConnection, 3.971848011016846, 429092, 
YAML, 500, 1.385792016983032, NSURLConnection, 3.361117005348206, 232411, 
YAML, 1000, 1.146434962749481, NSURLConnection, 7.231842994689941, 463959, 
BinaryPlist, 500, 2.089626014232635, NSURLConnection, 0.2512269616127014, 167811, 
BinaryPlist, 1000, 1.946952998638153, NSURLConnection, 0.4158779978752136, 317204, 
XMLPlist, 500, 0.9742839932441711, NSURLConnection, 1.019087016582489, 375583, 
XMLPlist, 1000, 2.056235015392303, NSURLConnection, 1.223396003246307, 750287, 
XMLFormattedPlist, 500, 0.9874910116195679, NSURLConnection, 0.6564210057258606, 478590, 
XMLFormattedPlist, 1000, 1.770817995071411, NSURLConnection, 1.280074000358582, 956294, 
NSXMLParser, 500, 1.502008974552155, NSURLConnection, 2.558719038963318, 264440, 
NSXMLParser, 1000, 1.694705009460449, NSURLConnection, 5.18910801410675, 528144, 
TouchXML, 500, 1.796927988529205, NSURLConnection, 1.705574989318848, 264440, 
TouchXML, 1000, 1.623681008815765, NSURLConnection, 5.08609801530838, 528144, 
LibXMLDom, 500, 0.9648740291595459, NSURLConnection, 1.676155030727386, 264440, 
LibXMLDom, 1000, 1.158761978149414, NSURLConnection, 3.219721019268036, 528144, 
LibXMLSAX, 500, 0.9198229908943176, NSURLConnection, 3.22749799489975, 264440, 
LibXMLSAX, 1000, 1.101931035518646, NSURLConnection, 5.598780989646912, 528144, 
CSV, 500, 0.5868269801139832, NSURLConnection, 1.235680997371674, 134149, 
CSV, 1000, 0.5618489980697632, NSURLConnection, 2.561450958251953, 267685, 
TBXML, 500, 0.9246589541435242, NSURLConnection, 0.6853139996528625, 264440, 
TBXML, 1000, 1.011875987052917, NSURLConnection, 1.171370983123779, 528144, 
KissXML, 500, 0.6820510029792786, NSURLConnection, 1.609467029571533, 264440, 
KissXML, 1000, 1.132881999015808, NSURLConnection, 3.119732022285461, 528144, 
TinyXML, 500, 1.268204987049103, NSURLConnection, 1.80416601896286, 264440, 
TinyXML, 1000, 0.9472399950027466, NSURLConnection, 3.593349993228912, 528144, 
GoogleXML, 500, 0.6468619704246521, NSURLConnection, 1.415357053279877, 264440, 
GoogleXML, 1000, 1.123189985752106, NSURLConnection, 2.81794399023056, 528144, 
APXML, 500, 0.9673569798469543, NSURLConnection, 3.345846951007843, 264440, 
APXML, 1000, 1.415871977806091, NSURLConnection, 6.693207025527954, 528144, 
ProtocolBuffer, 500, 4.219372987747192, NSURLConnection, 0.7678669691085815, 137438, 
ProtocolBuffer, 1000, 1.185053050518036, NSURLConnection, 1.499788045883179, 274201, 
TouchJSON, 500, 0.7585600018501282, ASIHTTPRequest, 1.902540981769562, 214888, 
TouchJSON, 1000, 0.7793579697608948, ASIHTTPRequest, 3.800415992736816, 429092, 
SBJSON, 500, 0.8261719942092896, ASIHTTPRequest, 1.298940002918243, 214888, 
SBJSON, 1000, 0.7497050166130066, ASIHTTPRequest, 2.630797982215881, 429092, 
YAML, 500, 0.8370620012283325, ASIHTTPRequest, 2.321298956871033, 232411, 
YAML, 1000, 0.8089240193367004, ASIHTTPRequest, 4.65301901102066, 463959, 
BinaryPlist, 500, 1.3976109623909, ASIHTTPRequest, 0.1864230036735535, 167811, 
BinaryPlist, 1000, 3.55097097158432, ASIHTTPRequest, 0.3517829775810242, 317204, 
XMLPlist, 500, 1.715029001235962, ASIHTTPRequest, 0.6384539604187012, 375583, 
XMLPlist, 1000, 2.694052994251251, ASIHTTPRequest, 1.249480009078979, 750287, 
XMLFormattedPlist, 500, 1.031058013439178, ASIHTTPRequest, 0.6410090327262878, 478590, 
XMLFormattedPlist, 1000, 2.70354700088501, ASIHTTPRequest, 1.285366952419281, 956294, 
NSXMLParser, 500, 0.5792409777641296, ASIHTTPRequest, 2.608539998531342, 264440, 
NSXMLParser, 1000, 0.9371359944343567, ASIHTTPRequest, 5.297394990921021, 528144, 
TouchXML, 500, 1.235594987869263, ASIHTTPRequest, 1.737303018569946, 264440, 
TouchXML, 1000, 0.9100989699363708, ASIHTTPRequest, 3.464591026306152, 528144, 
LibXMLDom, 500, 0.9183540344238281, ASIHTTPRequest, 1.045729041099548, 264440, 
LibXMLDom, 1000, 0.8952419757843018, ASIHTTPRequest, 2.054823994636536, 528144, 
LibXMLSAX, 500, 0.6239410042762756, ASIHTTPRequest, 2.033463001251221, 264440, 
LibXMLSAX, 1000, 0.9875919818878174, ASIHTTPRequest, 4.109471023082733, 528144, 
CSV, 500, 0.5893970131874084, ASIHTTPRequest, 1.260502994060516, 134149, 
CSV, 1000, 0.5693329572677612, ASIHTTPRequest, 2.468455970287323, 267685, 
TBXML, 500, 0.7334060072898865, ASIHTTPRequest, 0.5923169851303101, 264440, 
TBXML, 1000, 0.9420199990272522, ASIHTTPRequest, 1.19014298915863, 528144, 
KissXML, 500, 0.6521139740943909, ASIHTTPRequest, 1.62676203250885, 264440, 
KissXML, 1000, 1.248750984668732, ASIHTTPRequest, 3.301497995853424, 528144, 
TinyXML, 500, 1.392939031124115, ASIHTTPRequest, 1.807820022106171, 264440, 
TinyXML, 1000, 0.9935399889945984, ASIHTTPRequest, 3.577289998531342, 528144, 
GoogleXML, 500, 0.5676730275154114, ASIHTTPRequest, 1.442653000354767, 264440, 
GoogleXML, 1000, 0.9970690011978149, ASIHTTPRequest, 2.85689103603363, 528144, 
APXML, 500, 0.784529983997345, ASIHTTPRequest, 3.326985001564026, 264440, 
APXML, 1000, 0.9911069869995117, ASIHTTPRequest, 7.620170950889587, 528144, 
ProtocolBuffer, 500, 1.14156299829483, ASIHTTPRequest, 0.7775280475616455, 137438, 
ProtocolBuffer, 1000, 1.260298013687134, ASIHTTPRequest, 1.50239098072052, 274201, 
SOAP, 500, 2.925229966640472, SOAP, 1.630997955799103, 416813, 
SOAP, 1000, 3.944352984428406, SOAP, 3.705673038959503, 832518, 
