deserializer, limit, loaderTime, dataLoader, deserializerTime, dataLength, 
TouchJSON, 50, 1.06804496049881, NSURLConnection, 0.189628005027771, 21423, 
TouchJSON, 100, 1.341875016689301, NSURLConnection, 0.3810890316963196, 42854, 
TouchJSON, 150, 1.461321949958801, NSURLConnection, 0.5664889812469482, 64507, 
TouchJSON, 200, 1.373570024967194, NSURLConnection, 0.7613970041275024, 85764, 
SBJSON, 50, 0.5556150078773499, NSURLConnection, 0.1303820013999939, 21423, 
SBJSON, 100, 0.8917349576950073, NSURLConnection, 0.2571669816970825, 42854, 
SBJSON, 150, 1.981402039527893, NSURLConnection, 0.3871580362319946, 64507, 
SBJSON, 200, 1.860332012176514, NSURLConnection, 0.5135709643363953, 85764, 
YAML, 50, 1.633965015411377, NSURLConnection, 0.2269649505615234, 23178, 
YAML, 100, 1.909355998039246, NSURLConnection, 0.4432730078697205, 46331, 
YAML, 150, 1.695351004600525, NSURLConnection, 0.6687330007553101, 69700, 
YAML, 200, 2.194028973579407, NSURLConnection, 0.9012330174446106, 92675, 
BinaryPlist, 50, 1.240703999996185, NSURLConnection, 0.0192219614982605, 17700, 
BinaryPlist, 100, 0.8973780274391174, NSURLConnection, 0.03976202011108398, 34852, 
BinaryPlist, 150, 1.220790982246399, NSURLConnection, 0.05639100074768066, 51651, 
BinaryPlist, 200, 1.838252007961273, NSURLConnection, 0.07261800765991211, 67643, 
XMLPlist, 50, 0.9317269921302795, NSURLConnection, 0.06453901529312134, 37668, 
XMLPlist, 100, 2.396131992340088, NSURLConnection, 0.1359089612960815, 75149, 
XMLPlist, 150, 2.207499027252197, NSURLConnection, 0.2121769785881042, 112852, 
XMLPlist, 200, 2.331586003303528, NSURLConnection, 0.2784379720687866, 150159, 
XMLFormattedPlist, 50, 1.559841990470886, NSURLConnection, 0.06542998552322388, 47975, 
XMLFormattedPlist, 100, 1.977418005466461, NSURLConnection, 0.1514250040054321, 95756, 
XMLFormattedPlist, 150, 2.805483996868134, NSURLConnection, 0.2234799861907959, 143759, 
XMLFormattedPlist, 200, 5.395078003406525, NSURLConnection, 0.2750369906425476, 191366, 
NSXMLParser, 50, 1.449356973171234, NSURLConnection, 0.2602369785308838, 26425, 
NSXMLParser, 100, 0.9665369987487793, NSURLConnection, 0.5421620011329651, 52806, 
NSXMLParser, 150, 1.592249035835266, NSURLConnection, 0.7906579971313477, 79409, 
NSXMLParser, 200, 2.105901002883911, NSURLConnection, 1.067550003528595, 105616, 
TouchXML, 50, 1.45032399892807, NSURLConnection, 0.1747390031814575, 26425, 
TouchXML, 100, 0.878371000289917, NSURLConnection, 0.3393269777297974, 52806, 
TouchXML, 150, 1.047133982181549, NSURLConnection, 0.506676971912384, 79409, 
TouchXML, 200, 1.810811996459961, NSURLConnection, 0.6832590103149414, 105616, 
LibXMLDom, 50, 0.6736940145492554, NSURLConnection, 0.1044090390205383, 26425, 
LibXMLDom, 100, 1.514678001403809, NSURLConnection, 0.2061039805412292, 52806, 
LibXMLDom, 150, 1.643038988113403, NSURLConnection, 0.3008490204811096, 79409, 
LibXMLDom, 200, 2.544173002243042, NSURLConnection, 0.3978390097618103, 105616, 
LibXMLSAX, 50, 3.151117980480194, NSURLConnection, 290021788.858394, 26425, 
LibXMLSAX, 100, 2.149527013301849, NSURLConnection, 2.827751994132996, 52806, 
LibXMLSAX, 150, 1.736018002033234, NSURLConnection, 2.39827698469162, 79409, 
LibXMLSAX, 200, 1.883629977703094, NSURLConnection, 3.465959012508392, 105616, 
CSV, 50, 1.04569798707962, NSURLConnection, 0.1372079849243164, 13340, 
CSV, 100, 0.6205849647521973, NSURLConnection, 0.2751800417900085, 26689, 
CSV, 150, 0.8891779780387878, NSURLConnection, 0.3854619860649109, 40272, 
CSV, 200, 1.916374027729034, NSURLConnection, 0.5747659802436829, 53451, 
TBXML, 50, 0.6867809891700745, NSURLConnection, 0.05848902463912964, 26425, 
TBXML, 100, 2.085418999195099, NSURLConnection, 0.119513988494873, 52806, 
TBXML, 150, 2.046669006347656, NSURLConnection, 0.2387799620628357, 79409, 
TBXML, 200, 1.882007002830505, NSURLConnection, 0.2364229559898376, 105616, 
KissXML, 50, 0.5564759969711304, NSURLConnection, 0.1664720177650452, 26425, 
KissXML, 100, 1.161646008491516, NSURLConnection, 0.3383899927139282, 52806, 
KissXML, 150, 2.513175010681152, NSURLConnection, 0.4486420154571533, 79409, 
KissXML, 200, 3.239987015724182, NSURLConnection, 0.6194720268249512, 105616, 
TinyXML, 50, 1.420230031013489, NSURLConnection, 0.1846619844436646, 26425, 
TinyXML, 100, 1.437610983848572, NSURLConnection, 0.353875994682312, 52806, 
TinyXML, 150, 1.289409995079041, NSURLConnection, 0.5297679901123047, 79409, 
TinyXML, 200, 1.035124003887177, NSURLConnection, 0.7039589881896973, 105616, 
GoogleXML, 50, 0.5659899711608887, NSURLConnection, 0.1447179913520813, 26425, 
GoogleXML, 100, 0.9739109873771667, NSURLConnection, 0.282541036605835, 52806, 
GoogleXML, 150, 1.140119969844818, NSURLConnection, 0.4557810425758362, 79409, 
GoogleXML, 200, 2.091099977493286, NSURLConnection, 0.6163220405578613, 105616, 
APXML, 50, 1.016429960727692, NSURLConnection, 0.3487359881401062, 26425, 
APXML, 100, 1.69368302822113, NSURLConnection, 0.6629840135574341, 52806, 
APXML, 150, 3.074123978614807, NSURLConnection, 1.012768030166626, 79409, 
APXML, 200, 3.040817022323608, NSURLConnection, 1.347168982028961, 105616, 
ProtocolBuffer, 50, 1.171443998813629, NSURLConnection, 0.09833598136901855, 13687, 
ProtocolBuffer, 100, 1.02209198474884, NSURLConnection, 0.1527079939842224, 27373, 
ProtocolBuffer, 150, 1.266674995422363, NSURLConnection, 0.2310789823532104, 41258, 
ProtocolBuffer, 200, 1.290162980556488, NSURLConnection, 0.3014890551567078, 54767, 
TouchJSON, 50, 1.127565979957581, ASIHTTPRequest, 0.1938009858131409, 21423, 
TouchJSON, 100, 1.236023962497711, ASIHTTPRequest, 0.387965977191925, 42854, 
TouchJSON, 150, 1.24142199754715, ASIHTTPRequest, 0.5841569900512695, 64507, 
TouchJSON, 200, 1.546590030193329, ASIHTTPRequest, 0.7689290046691895, 85764, 
SBJSON, 50, 0.8716679811477661, ASIHTTPRequest, 0.1283900141716003, 21423, 
SBJSON, 100, 0.8858270049095154, ASIHTTPRequest, 0.2593429684638977, 42854, 
SBJSON, 150, 1.155991017818451, ASIHTTPRequest, 0.3931049704551697, 64507, 
SBJSON, 200, 1.752622008323669, ASIHTTPRequest, 0.5188090205192566, 85764, 
YAML, 50, 0.4934930205345154, ASIHTTPRequest, 0.2349170446395874, 23178, 
YAML, 100, 0.9878069758415222, ASIHTTPRequest, 0.4801660180091858, 46331, 
YAML, 150, 2.732168972492218, ASIHTTPRequest, 0.7465389966964722, 69700, 
YAML, 200, 3.395188987255096, ASIHTTPRequest, 0.92569899559021, 92675, 
BinaryPlist, 50, 0.5955560207366943, ASIHTTPRequest, 0.01880401372909546, 17700, 
BinaryPlist, 100, 1.709932029247284, ASIHTTPRequest, 0.03758305311203003, 34852, 
BinaryPlist, 150, 1.467745006084442, ASIHTTPRequest, 0.07522696256637573, 51651, 
BinaryPlist, 200, 2.563955008983612, ASIHTTPRequest, 0.0955970287322998, 67643, 
XMLPlist, 50, 1.777661979198456, ASIHTTPRequest, 0.06665802001953125, 37668, 
XMLPlist, 100, 1.871014952659607, ASIHTTPRequest, 0.1314919590950012, 75149, 
XMLPlist, 150, 1.805308043956757, ASIHTTPRequest, 0.1975460052490234, 112852, 
XMLPlist, 200, 2.255277991294861, ASIHTTPRequest, 0.2599610090255737, 150159, 
XMLFormattedPlist, 50, 1.309181034564972, ASIHTTPRequest, 0.06776803731918335, 47975, 
XMLFormattedPlist, 100, 1.510614037513733, ASIHTTPRequest, 0.1397820115089417, 95756, 
XMLFormattedPlist, 150, 2.615876019001007, ASIHTTPRequest, 0.2048290371894836, 143759, 
XMLFormattedPlist, 200, 3.470995008945465, ASIHTTPRequest, 0.2674390077590942, 191366, 
NSXMLParser, 50, 0.7489799857139587, ASIHTTPRequest, 0.2698330283164978, 26425, 
NSXMLParser, 100, 1.148223042488098, ASIHTTPRequest, 0.5524069666862488, 52806, 
NSXMLParser, 150, 1.391750991344452, ASIHTTPRequest, 0.8383969664573669, 79409, 
NSXMLParser, 200, 4.163368999958038, ASIHTTPRequest, 1.100795030593872, 105616, 
TouchXML, 50, 0.6435920000076294, ASIHTTPRequest, 0.1771919727325439, 26425, 
TouchXML, 100, 1.14351099729538, ASIHTTPRequest, 0.353630006313324, 52806, 
TouchXML, 150, 1.38062995672226, ASIHTTPRequest, 0.5424140095710754, 79409, 
TouchXML, 200, 2.211436986923218, ASIHTTPRequest, 0.6932470202445984, 105616, 
LibXMLDom, 50, 0.9271100163459778, ASIHTTPRequest, 0.1060330271720886, 26425, 
LibXMLDom, 100, 1.113874018192291, ASIHTTPRequest, 0.2120109796524048, 52806, 
LibXMLDom, 150, 1.413382053375244, ASIHTTPRequest, 0.3192629814147949, 79409, 
LibXMLDom, 200, 1.617954969406128, ASIHTTPRequest, 0.4134629964828491, 105616, 
LibXMLSAX, 50, 0.7104399800300598, ASIHTTPRequest, 290021923.393469, 26425, 
LibXMLSAX, 100, 0.9045439958572388, ASIHTTPRequest, 1.301435947418213, 52806, 
LibXMLSAX, 150, 2.945329010486603, ASIHTTPRequest, 3.555472016334534, 79409, 
LibXMLSAX, 200, 1.975593984127045, ASIHTTPRequest, 2.797720968723297, 105616, 
CSV, 50, 0.49863201379776, ASIHTTPRequest, 0.1558670401573181, 13340, 
CSV, 100, 0.6132019758224487, ASIHTTPRequest, 0.2657470107078552, 26689, 
CSV, 150, 0.7016719579696655, ASIHTTPRequest, 0.4120680093765259, 40272, 
CSV, 200, 0.9012600183486938, ASIHTTPRequest, 0.5214270353317261, 53451, 
TBXML, 50, 2.020377039909363, ASIHTTPRequest, 0.06156200170516968, 26425, 
TBXML, 100, 1.678668022155762, ASIHTTPRequest, 0.120415985584259, 52806, 
TBXML, 150, 3.555875957012177, ASIHTTPRequest, 0.1831679940223694, 79409, 
TBXML, 200, 1.963580012321472, ASIHTTPRequest, 0.2391980290412903, 105616, 
KissXML, 50, 0.5610740184783936, ASIHTTPRequest, 0.169372022151947, 26425, 
KissXML, 100, 0.9570130109786987, ASIHTTPRequest, 0.3100190162658691, 52806, 
KissXML, 150, 6.472755968570709, ASIHTTPRequest, 0.5174569487571716, 79409, 
KissXML, 200, 2.51103001832962, ASIHTTPRequest, 0.6141999959945679, 105616, 
TinyXML, 50, 0.5045300126075745, ASIHTTPRequest, 0.181251049041748, 26425, 
TinyXML, 100, 0.9297679662704468, ASIHTTPRequest, 0.3727570176124573, 52806, 
TinyXML, 150, 1.548368036746979, ASIHTTPRequest, 0.5849550366401672, 79409, 
TinyXML, 200, 2.180274963378906, ASIHTTPRequest, 0.7668020129203796, 105616, 
GoogleXML, 50, 2.699156999588013, ASIHTTPRequest, 0.1454460024833679, 26425, 
GoogleXML, 100, 2.203565001487732, ASIHTTPRequest, 0.3137890100479126, 52806, 
GoogleXML, 150, 1.723802030086517, ASIHTTPRequest, 0.4728720188140869, 79409, 
GoogleXML, 200, 1.77168995141983, ASIHTTPRequest, 0.6078370213508606, 105616, 
APXML, 50, 0.7068600058555603, ASIHTTPRequest, 0.3344700336456299, 26425, 
APXML, 100, 0.8941240310668945, ASIHTTPRequest, 0.6731529831886292, 52806, 
APXML, 150, 1.565212965011597, ASIHTTPRequest, 1.017540991306305, 79409, 
APXML, 200, 1.942152976989746, ASIHTTPRequest, 1.349895000457764, 105616, 
ProtocolBuffer, 50, 1.203278958797455, ASIHTTPRequest, 0.07554298639297485, 13687, 
ProtocolBuffer, 100, 0.8358539938926697, ASIHTTPRequest, 0.1517319679260254, 27373, 
ProtocolBuffer, 150, 1.069101989269257, ASIHTTPRequest, 0.2292889952659607, 41258, 
ProtocolBuffer, 200, 1.0574010014534, ASIHTTPRequest, 0.3043709993362427, 54767, 
SOAP, 50, 1.157646000385284, SOAP, 0.1630800366401672, 41997, 
SOAP, 100, 0.9553130269050598, SOAP, 0.312341034412384, 83579, 
SOAP, 150, 1.113580048084259, SOAP, 0.4665409922599792, 125382, 
SOAP, 200, 1.563993990421295, SOAP, 0.6401020288467407, 166789, 
